Staff,Shift,Day,Start,Duration,End,Bus_Compatible
1,S_122,0,15,8,23,False
1,S_370,1,46,8,54,False
1,S_698,3,87,8,95,False
1,S_890,4,111,8,119,False
1,S_1098,5,137,8,145,False
1,S_1272,6,160,8,168,False
2,S_2,0,0,8,8,False
2,S_210,1,26,8,34,False
2,S_562,2,70,8,78,False
2,S_794,4,99,8,107,False
2,S_986,5,123,8,131,False
2,S_1178,6,147,8,155,False
3,S_282,1,35,8,43,False
3,S_474,2,59,8,67,False
3,S_634,3,79,8,87,False
3,S_858,4,107,8,115,False
3,S_1018,5,127,8,135,False
3,S_1210,6,151,8,159,False
4,S_247,1,30,13,43,False
4,S_439,2,54,13,67,False
4,S_631,3,78,13,91,False
4,S_823,4,102,13,115,False
4,S_1015,5,126,13,139,False
4,S_1207,6,150,13,163,False
5,S_282,1,35,8,43,False
5,S_474,2,59,8,67,False
5,S_698,3,87,8,95,False
5,S_898,4,112,8,120,False
5,S_1090,5,136,8,144,False
5,S_1242,6,155,8,163,False
6,S_68,0,8,10,18,False
6,S_266,1,33,8,41,False
6,S_458,2,57,8,65,False
6,S_652,3,81,10,91,False
6,S_866,4,108,8,116,False
6,S_1075,5,134,9,143,False
7,S_62,0,7,12,19,False
7,S_374,1,46,12,58,False
7,S_616,3,77,6,83,False
7,S_745,3,93,7,100,False
7,S_837,4,104,11,115,False
7,S_1015,5,126,13,139,False
7,S_1192,6,149,6,155,False
7,S_1275,6,162,6,168,False
8,S_34,0,4,8,12,False
8,S_282,1,35,8,43,False
8,S_634,3,79,8,87,False
8,S_898,4,112,8,120,False
8,S_1098,5,137,8,145,False
8,S_1210,6,151,8,159,False
9,S_130,0,16,8,24,False
9,S_250,1,31,8,39,False
9,S_514,2,64,8,72,False
9,S_706,3,88,8,96,False
9,S_818,4,102,8,110,False
9,S_970,5,121,8,129,False
10,S_66,0,8,8,16,False
10,S_330,1,41,8,49,False
10,S_426,2,53,8,61,False
10,S_890,4,111,8,119,False
10,S_1018,5,127,8,135,False
10,S_1272,6,160,8,168,False
11,S_115,0,14,9,23,False
11,S_243,1,30,9,39,False
11,S_691,3,86,9,95,False
11,S_851,4,106,9,115,False
11,S_1075,5,134,9,143,False
11,S_1264,6,158,9,167,False
12,S_115,0,14,9,23,False
12,S_307,1,38,9,47,False
12,S_691,3,86,9,95,False
12,S_819,4,102,9,111,False
12,S_1050,5,131,8,139,False
12,S_1242,6,155,8,163,False
13,S_175,0,21,13,34,False
13,S_439,2,54,13,67,False
13,S_631,3,78,13,91,False
13,S_823,4,102,13,115,False
